    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   128747066      1.54205    -0.325762     0.508348      1190.03      423.378      470.411   2.2414e+13   2.1277e+13     0.647918
   110959614      5.76937    -0.145549     0.403813     -824.279      689.729      233.366   1.0882e+13   1.0557e+13     0.504516
   111956071       5.8903     -0.38464     0.685506     -1081.15      1117.02      771.595   1.4618e+13   1.4293e+13     0.579812
  1004462691      6.13049    -0.692146     0.874555     -770.603      1282.53      1483.86   2.7797e+13   2.7797e+13     0.735845
   129988394      1.08681    -0.803592      0.77419      902.856       839.43      1465.43   1.5267e+13   1.4943e+13     0.593468
   130370097      1.05932    -0.102801     0.668243      1106.12      1255.81      296.054   1.1857e+13   1.1532e+13       0.5388
   131467977     0.749277    -0.572356     0.821825      666.327      1436.78      1233.84   6.7079e+13   6.6592e+13     0.980576
   111241959      5.98107    -0.702999     0.543243     -653.666      770.972      1007.87   1.4943e+13   1.3481e+13      0.55918
   110230183      5.49375     -0.36187     0.475626     -1076.71      452.956      502.995   1.1857e+13   1.1857e+13     0.530609
   112791890      6.13458    -0.421427      0.79143     -841.466      1476.87      953.293   1.5105e+13   1.4455e+13     0.587826
   106501981      5.69089    -0.477915     0.868787     -1497.71      997.071      1076.13   3.2484e+13   3.1672e+13      0.76823
   117592287      6.19545     -1.05624     0.855325     -420.607      739.924      1888.34   1.1369e+13   1.1369e+13     0.545425
   112517575      6.04177   0.00685976     0.653307      -925.38      1381.52      131.416   3.3134e+13   3.2646e+13     0.760982
   111504034      5.84701    -0.966776     0.858075     -823.801      660.908       1787.8   2.1927e+13   2.1764e+13     0.677375
   113313787   0.00150353  -0.00565056     0.859623     -703.494      1945.41      210.245   1.3806e+13   1.3318e+13     0.575153
   139590794      1.69595   0.00929935     0.719372      1760.87      397.123      14.7043   1.7054e+13   1.6242e+13     0.607106
   105579408      5.62244    -0.143523     0.677352     -1436.84      878.589      341.906    1.072e+13    1.007e+13     0.515492
   106301866      5.81074    -0.178168     0.753211     -1345.36      1218.97      462.262   7.7474e+13     7.52e+13       1.0151
   123242138     0.955319   -0.0384019     0.352891      556.421      790.721      114.271   2.9235e+13   2.7286e+13     0.685895
