    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
     7638751      256.354       2.1315     0.281062      -186.12      766.617      29.3615   4.0521e+12      381.775
     9091452      307.159      8.60743     0.278114       466.86      615.985      116.995   6.1953e+12       433.07
    17537987      265.993      32.1052     0.304443     -50.3223      718.399      451.846   2.7125e+12      331.777
     7638850      249.543      4.09392     0.253076     -249.515      668.874      51.0967   3.6837e+12        376.7
    10706153      333.617      41.1871     0.288046      544.503      270.096      531.858   1.9624e+13      648.166
    18082739      302.936      22.8343     0.100955       148.31       228.94      114.859   3.3488e+12       367.27
   123343301      275.102      15.7157     0.330473       78.491      879.122      248.354   4.7102e+12      384.526
    18780919      344.516      34.6754     0.157964      362.221      100.342       260.02   8.7739e+12      471.662
     6774530      322.775      35.7843     0.257797      470.405      357.375      425.825   4.3535e+12      377.124
   117089964      260.813      34.3962     0.301518     -111.008      686.365      476.003   3.8981e+12      373.508
     7769736      320.228      70.3521     0.299195      216.205      179.956      787.894    4.253e+12      386.757
     8713952      318.522     0.485729     0.172847      373.354       330.06      4.22473   4.9897e+12       387.54
    18120769      290.851      69.9041     0.177988      62.6832      164.574      481.342   5.1237e+12      410.773
     8090095      275.994     0.968349     0.247809      73.2644      697.792      11.8592   5.8269e+12      414.086
     8468551      354.287      64.3428     0.218045      267.942      26.8037      560.595   6.7981e+12      437.773
     2850966      230.186      21.8262     0.339323      -558.36      669.824      349.248   6.8316e+12       454.51
     9224258      295.738      38.6172     0.305565      289.447      600.401      532.411    2.813e+12      329.512
     2022229      183.106      8.20942     0.275369     -765.464      41.5335      110.596   2.9804e+12      346.156
    19027926      297.985      1.76739     0.312233      408.161      768.115      26.8398   4.8558e+12      389.544
     6374160      270.189      1.66098     0.297632      2.74011      832.201      24.1321   6.4632e+12       446.77
    10920587      324.509      19.5675     0.335936      714.075      509.183      311.733    2.947e+12      330.404
     6376659      283.803    0.0302121     0.329505       218.17      888.023      0.48218    6.932e+12      475.905
   127969738       344.85      39.6746     0.334618      689.018      186.562      592.096   4.5477e+12      401.245
     2056942      182.353      36.7931     0.235336     -534.833      21.9795      400.343   8.0372e+12      464.775
   121718227      355.901      65.4814     0.315501       363.69      26.0627      799.403   5.8471e+12      445.219
    10614592      334.055      23.3104     0.244461      572.133      278.374      274.154   8.4725e+12      469.197
   116953336      249.412        1.954     0.306087     -300.277      799.381      29.1331   9.9076e+12      532.724
   117028265      253.911      11.4826     0.302877     -229.792      796.716      168.439   5.8471e+12      424.264
    17096285      248.976      71.8565     0.304519     -95.0001      247.176      808.088   2.7795e+12      327.059
